,CNEC.CL,AAPL,AMZN,BAC,BAP,BRK-B,BVN,C,CBU7.L,CFMITNIPSA.SN,CSPX.L,EIMI.L,F,GOOGL,IJPA.L,JETS,JNJ,JPM,META,NKE,NVDA,PBR,PFE,SCCO,SGLD.L,SPXS.L,SUAS.L,URA,VOLCABC1.LM,VOO
CNEC.CL,0.005917693211165132,0.0003434272869549797,0.00020025509286116075,0.0004289592681829151,0.000364027582902613,0.0001655346793139477,0.0004049947907305465,0.00048610482801098617,-3.476486159061003e-06,0.00016867747205187545,0.00017639792927976247,0.00020386620927772953,0.00036652424140724783,0.00046003809116577357,0.00012728163635522015,0.0002280562800496881,-9.179692426374066e-05,0.00036665790085648267,0.0001616995697875417,0.00011927833960678378,0.00022985573392408053,0.00022388706098256078,4.2366670244206585e-05,0.0006215968310902744,7.709398909263043e-05,0.00017830655204969872,0.00019841166426839748,0.0008519692442844331,0.0009296363048427165,0.00019486033010505995
AAPL,0.0003434272869549797,0.0013099443857173872,0.0006509417461944878,0.00040644806718526664,0.00020552135806275006,0.00016649285811003132,0.0002719271950867692,0.0004858772650504294,1.1558298490295654e-05,0.00016500872477288596,0.0004011358739502004,0.00031923718893639126,0.0005706633552310411,0.0007870321597860536,0.0003470707332220025,0.00047148453408172946,0.00010916012982449284,0.0003455896150335774,0.000732164451557394,0.0005857757316355569,0.0009069193645508468,-6.094217135710004e-05,0.00026555168324564517,0.000591580960355153,1.0776188428121059e-05,0.00040460765716956055,0.0003585905385847205,0.0003301779621884391,0.0001058648369315611,0.000471424098550969
AMZN,0.00020025509286116075,0.0006509417461944878,0.0015734701141134958,0.0005975526667593819,0.000299829771355955,0.0002161396247945883,0.0004552707552808157,0.0008093578666082826,1.300021673339844e-05,0.00010810874799636326,0.0005127118208345589,0.00036877519429105417,0.00047939810657584214,0.0009072359032880414,0.0004657837949083326,0.0007000308455216977,-0.0001252803090073497,0.0005723193666427346,0.001135464314267464,0.0004567082987758078,0.0014695873718572608,-6.341391277614456e-05,5.3948381122905234e-05,0.000791537762473862,9.09816437768933e-06,0.00051057216371586,0.0004725325496745623,0.0008512677074994733,4.4192305144186225e-05,0.0005777723061846781
BAC,0.0004289592681829151,0.00040644806718526664,0.0005975526667593819,0.0015365995219883554,0.0006393596128094951,0.0005016307194770672,0.00045389965248829653,0.0013372055820357574,-3.144629872234247e-05,0.0002940829962729059,0.0004811892095177563,0.00034244365621971393,0.000876976749328609,0.0002799469491978796,0.0004556848266869015,0.0009681353204560561,0.0001597501213699411,0.0010453040440141599,0.00046823470102882504,0.0005442673562181384,0.0006368432128508769,0.000369746118819529,0.0001719630848095032,0.0008706209567542306,-2.1502093437635974e-05,0.0004827446693009391,0.000525518052920626,0.000806138400009176,0.00037263024640137347,0.0005263745944496935
BAP,0.000364027582902613,0.00020552135806275006,0.000299829771355955,0.0006393596128094951,0.0012161552224661434,0.00023312185633544188,0.0008331170116983193,0.0005515717323075788,7.129462481573581e-06,0.0002197872477437206,0.0002761186639909448,0.00028986357946206195,0.0006416996596417382,-8.144959068082401e-06,0.0003141945340846658,0.0005533401596244893,5.743040208797685e-05,0.00047067638121093213,0.0002582527244052054,0.00030012644409815355,0.00040012054831628643,0.0002480519225933003,2.0384826481602472e-05,0.0007758433427639048,3.9415534776793684e-05,0.0002814121149519395,0.0003212817144237693,0.0005510486616448958,0.00041021752753205904,0.00027242383563736696
BRK-B,0.0001655346793139477,0.00016649285811003132,0.0002161396247945883,0.0005016307194770672,0.00023312185633544188,0.0005019305909908635,0.00016718173687072036,0.000512847915532732,-2.1715939811386646e-06,8.931723454922477e-05,0.0001760223373653563,0.00013927055004859731,0.00038350012263613367,9.970749007966192e-05,0.00021744162907082055,0.00035652508283998737,0.00015848409192266742,0.0004483104392839977,0.00025358501113536966,0.0002687944148235013,0.00011630376255131054,0.00017925950124053234,0.00014166259376623155,0.00034391713115199265,2.0596483182985e-05,0.00017941780395653635,0.00018625736389056569,0.00019919011252254016,0.00020064588108210953,0.00022323087551653496
BVN,0.0004049947907305465,0.0002719271950867692,0.0004552707552808157,0.00045389965248829653,0.0008331170116983193,0.00016718173687072036,0.002959949473385644,0.0004823070511244209,-4.404747297770986e-06,0.00021408128969943767,0.000283149733424736,0.0003832786390734621,0.0005518727216630332,0.0005382217135606747,0.0002936380421911136,0.00040023428036195345,8.170262149558656e-05,0.0003502464822394858,0.00034642255320070246,0.00022360907875709012,0.0006289799701209045,0.00021832653969944727,5.8169213013610045e-05,0.001529575789984273,0.00038343401847948995,0.00027972990394817005,0.00026848624881798896,0.0007907659801657924,0.0009509620422654859,0.0003282517883515085
C,0.00048610482801098617,0.0004858772650504294,0.0008093578666082826,0.0013372055820357574,0.0005515717323075788,0.000512847915532732,0.0004823070511244209,0.0017623207413825553,-3.41122797691001e-05,0.0002803547874545732,0.0005332237002603211,0.00044564640805955317,0.0008717536873001901,0.0004917703013163894,0.0005642145848798455,0.00100586972154748,0.00012689045254399165,0.0011250042721631136,0.0006973183929978425,0.0006093933637244906,0.000870581454352105,0.00041660259970174895,0.00014641627807550621,0.0010397738864897348,-8.541074677131542e-06,0.0005322252369334463,0.0005615313160481479,0.0009257378472598704,0.00030399641802801553,0.0005851665829762891
CBU7.L,-3.476486159061003e-06,1.1558298490295654e-05,1.300021673339844e-05,-3.144629872234247e-05,7.129462481573581e-06,-2.1715939811386646e-06,-4.404747297770986e-06,-3.41122797691001e-05,4.3828474606953565e-05,2.1310680349938675e-06,1.2483600959280793e-05,2.0307412917684983e-05,1.1877194956749525e-05,1.6151618484685218e-05,1.7755191084361694e-05,-2.409870009512543e-05,3.620382769975316e-05,-5.0040053236664726e-05,4.7685626631534634e-05,5.938391107169768e-05,-3.247705900544832e-05,-5.903060272891292e-05,1.646863217170826e-05,-5.887122406125431e-06,2.7397665564533556e-05,1.24799878611509e-05,1.7387719008827233e-05,-1.545487523663359e-05,3.718616212243574e-05,5.152689803588488e-06
CFMITNIPSA.SN,0.00016867747205187545,0.00016500872477288596,0.00010810874799636326,0.0002940829962729059,0.0002197872477437206,8.931723454922477e-05,0.00021408128969943767,0.0002803547874545732,2.1310680349938675e-06,0.0003583730044817178,0.0001310771547074911,0.00017388853288390015,0.000290794975328219,0.00011722263114158402,0.00019398393970175332,0.00022254300013202028,4.868871375913024e-05,0.00016944238390260264,6.88830454834755e-05,0.00018309069285368687,7.353175731219078e-05,0.00022381892500844091,4.9497400123428426e-05,0.0003954610882167232,4.419198580853193e-05,0.0001313278954970676,0.00014513654942827103,0.000214507101035517,0.0001262657923408679,0.00011953304731905493
CSPX.L,0.00017639792927976247,0.0004011358739502004,0.0005127118208345589,0.0004811892095177563,0.0002761186639909448,0.0001760223373653563,0.000283149733424736,0.0005332237002603211,1.2483600959280793e-05,0.0001310771547074911,0.00036722022903359675,0.00030800463494482644,0.0004688520669520754,0.00038845979878485647,0.0003184667517642889,0.00043855503354059617,7.442030569911727e-05,0.00039039004672281725,0.0005338428383295034,0.00039050093034908955,0.0007707026256617342,6.52307437629706e-05,0.0001638251893987886,0.000506571820456334,3.082607033985604e-05,0.00036822083575816026,0.00037049059210674315,0.0004708294482561984,0.00021881840277050666,0.000358892594568782
EIMI.L,0.00020386620927772953,0.00031923718893639126,0.00036877519429105417,0.00034244365621971393,0.00028986357946206195,0.00013927055004859731,0.0003832786390734621,0.00044564640805955317,2.0307412917684983e-05,0.00017388853288390015,0.00030800463494482644,0.0004668910289543961,0.00043887824087321137,0.000341869616744275,0.00036218243977948367,0.0003749281869665044,0.00010777466742741908,0.0002758801895417029,0.0004022572895140857,0.0004312473692810768,0.0005901117897513672,0.0001439135528816979,0.0002092336687714952,0.0007219002612635902,0.00011766804643021572,0.0003087466930867231,0.0003176881951287805,0.0005124497224790364,0.0003780107983413603,0.00029329457727329155
