,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CIBEST.CL,CNEC.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFCIBEST.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AGUAS-A.SN,AMZN,ANDINA-B.SN,BAC,BAP,BRK-B,BSANTANDER.SN,BVN,C,CBU7.L,CCU,CENCOSUD.SN,CFMITNIPSA.SN,CHILE.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,CPAC,CSPX.L,ECL.SN,EIMI.L,ENELCHILE.SN,ENTEL.SN,F,FALABELLA.SN,GE,GOAU,GOOGL,IAM.SN,IJPA.L,ITAUCL.SN,JETS,JNJ,JPM,META,NKE,NVDA,PARAUCO.SN,PFE,SCCO,SGLD.L,SMU.SN,SUAS.L,URA,VAPORES.SN,VOLCABC1.LM,VOO
BOGOTA.CL,0.0015667696929458099,-3.687751934785413e-05,0.00025856674947670455,-0.00018487657435619755,0.00038509782910387506,-1.3925926119430577e-06,0.0006228922412020646,8.578083325548166e-05,-0.0001501238499730086,-6.864402985408629e-07,0.00030511078970524557,0.0003949106776024183,0.00024213946521225733,0.0001353828672735751,0.00041018910963019694,-3.093182800127525e-05,0.00024712687200319965,0.00033767484252474425,0.00011704317821407206,7.017410664800852e-05,0.0007467382602437654,0.0005473723146929178,0.0004023781560752257,0.00010432692538763913,0.0003004939863354508,-6.305969849850938e-05,-0.00017363599926671847,-0.0003389141696571548,0.00011297194778272962,0.00012362730178559588,7.874563423221088e-05,0.00023365219614864352,-6.816555580963093e-05,0.00013592868753367558,-2.8668040238138678e-05,-5.440548656784345e-05,4.030662978357336e-05,-2.5555858843653037e-05,4.6030433741564954e-05,0.00019109126928114594,-1.4059564074373887e-05,1.9876463329735758e-05,8.541226274925008e-05,4.16512189375938e-05,-4.139264549829615e-05,-7.653659745350373e-05,-4.57838745749267e-05,1.8037830343239543e-05,0.00010899432462635232,9.35962808394206e-05,2.470134230920623e-05,0.00015256221959071423,7.800301330743726e-05,3.0132298592385466e-05,5.572835090987586e-05,0.00025931857772255965,-6.211771847309531e-05,0.00010718889107190233,0.00013219353629197956,8.535640541627614e-05,7.789313991287995e-06,0.0002204804721110205,-7.385678012576144e-05,-4.769246604224983e-05,0.00020397259333662437,-0.00035034898884567093,1.1065538849181176e-06,0.00022945346324307965,-0.0001523365248734432,0.00011647726148729235,-8.445695977637827e-05,1.824038059846804e-06,2.1685763310819835e-05,-5.824841452455261e-05,0.00037612615709921933,-2.355757264964876e-05
BVC.CL,-3.687751934785413e-05,0.0019063762769863579,0.0005148321895931403,0.00021447476766097454,3.679940711049192e-05,-8.32665195499538e-05,0.00019408459422862577,-7.632431779318239e-05,0.00038409991215833356,0.00025259432342729485,8.793591273270997e-05,0.0005966354556217458,0.0005745062752588596,0.00020676257649349897,6.936799984743285e-05,0.0004408235423770369,3.706267478650339e-05,-7.293377194743925e-05,8.089163623882785e-05,0.00041899193175018174,-0.0003611155494908754,0.00011667695544923184,0.00015628626069030677,0.00023364379598375508,0.00011193316036124195,0.0003119187519915466,0.00034425672884552883,0.0005109069148949272,0.0002102787383900554,0.00012629958825808492,0.00016740128986341668,8.676481299667542e-05,-4.8800693662395895e-05,3.6873805483918596e-05,-4.964398776297204e-05,-1.1877175745543511e-05,-3.6761081327385076e-05,2.674495419416084e-05,5.3895271092399856e-05,-7.681086896638072e-06,7.451836742854425e-05,-3.676058269382981e-05,4.7579286396264566e-05,-7.731290915970041e-05,-0.00010735851646224496,-0.00010466254355489057,1.4629244469043391e-05,3.648098178517885e-05,-0.00016268814293316349,-3.153386791881441e-05,-0.00023347745446558463,-0.00023745084457237514,-2.775404014980364e-06,-9.838022838803685e-05,-2.2312229381329034e-05,0.00015812885716227283,0.0004214101684895368,4.312268345881411e-05,4.14352564568882e-05,5.697970446264367e-06,-0.00011963020474309065,9.10967471627312e-05,-9.26069982824126e-05,-8.408464115467177e-05,8.631371349608624e-05,-4.4090844242023796e-05,7.643888734620888e-05,-4.2452668729703915e-05,-0.0001852674190588988,2.5105731500587975e-05,0.00022626110255798693,2.5853153170691955e-05,-0.00010197158173836328,-9.054168210535516e-05,-0.00024294635424137816,4.481355309427143e-05
CELSIA.CL,0.00025856674947670455,0.0005148321895931403,0.0019475933965173555,0.0006022797663079453,0.00018555458692897,2.710963904942471e-05,0.00047526383465449663,0.00041474512605777636,0.0004185823659425702,0.0004493217506803786,0.00045857889814794644,0.001137431440282503,0.0009958989664911838,0.0009354570901858496,0.00011845406600470065,0.0006194917157826604,0.00030869198951126914,0.00038910071883187003,0.0003301749271893989,0.0006721021893122956,-0.0007043106419137304,0.00017108762079204602,0.00041170141892426355,0.0005290217374559512,0.0009583141337419073,0.0008868147792251045,0.0010171808020913809,0.000546098111332529,0.0002528455124875397,-9.583575070098874e-05,6.610109888369233e-05,2.096891146705986e-05,0.00016053651616359973,0.0003163414386099161,3.4312957139348566e-05,-5.3804351580189036e-05,0.0008641906740380735,0.00021754023077705508,2.4682489504008415e-05,-1.850014032823017e-05,-9.783031370518817e-05,-7.213325598686682e-06,2.7285059095312654e-06,5.474942622237862e-05,-5.3631113447091695e-05,3.336275960599444e-05,-0.000147099531793797,0.00011765685350514754,4.2449058056666536e-05,0.00012650832624533148,-3.847938137195097e-05,-5.728556001634391e-05,0.0003280618093325009,-8.162253524611888e-05,0.00018406345437970638,0.000569553733445609,0.00023312048697602753,-5.404240962288485e-05,4.6799921697562745e-05,5.189871131574761e-05,6.858071053669323e-05,3.694284579466652e-05,0.00011995051712940184,0.00023807717379708632,0.00013220014990807626,0.00017146236312304354,-1.7076365697391413e-05,-9.346305753140364e-05,0.00019086841382718784,0.0002404222903055932,-0.00011992234502327565,9.37557785901731e-05,0.0002542038006684226,0.00016498471969977289,0.00015812687567228406,0.00012123062600072047
CEMARGOS.CL,-0.00018487657435619755,0.00021447476766097454,0.0006022797663079453,0.002744456009948425,0.0002201483052634242,8.242160445115185e-05,0.00022032329647903717,0.00027827217501815273,0.00027136656302459823,0.0004370041987470593,-0.0003915694094317664,0.0005489014141135915,8.614607880315532e-05,0.000995482323611833,-0.00016936677918292402,0.0009583480053132403,0.00021576131917626752,0.00028126890340104895,0.0003938635473892614,0.00055179330973387,-0.0008593077802571032,-0.00014651270654869638,0.00016524201597284584,0.0007600841189008787,0.0005246243303333284,0.0007368090250762448,0.0009345171312261696,0.0006694016655142271,0.0003445470900628185,-6.153498538151617e-05,-7.678681439065063e-05,9.58645355471355e-06,0.00015666049190105175,9.858130986321291e-05,-3.1676813096466784e-05,7.604856718578342e-05,0.0003969284082023068,0.00016517561544343847,-4.702043249164162e-06,-4.720909416021909e-05,-1.2714694192740168e-05,-9.541541600134575e-06,-3.932982717389068e-05,-0.0002664563713912121,3.318064625931703e-05,9.177389325069233e-05,3.071858937815714e-05,4.494893735341657e-05,-9.082680701718389e-05,2.656605444801286e-05,-5.170051988371482e-05,-0.0003092222345316805,2.951577360469644e-05,-6.75660980300789e-05,-4.8287536590772385e-05,0.0001999774111069884,9.502556896118e-05,-6.495810763673577e-05,2.5607402418803806e-05,-3.1844328311155553e-05,-3.516147700401646e-05,2.3189737461637243e-05,0.00010060038439459322,-5.023904658705878e-05,2.4217810769669716e-05,-0.00018877606992816234,9.350212862312726e-05,-6.466634450211608e-05,0.0001794764632029688,0.00010274679118842095,-4.0365367402216715e-07,2.9368477235313117e-05,0.00028428658559485914,3.2524828891256416e-05,-0.00018150741972757265,-4.970110422054369e-06
CIBEST.CL,0.00038509782910387506,3.679940711049192e-05,0.00018555458692897,0.0002201483052634242,0.001762594972151693,0.00010595610420066127,0.0006786687747713666,0.00014906513180359417,0.00019734025946763228,0.00012114391973964735,2.9166674877912965e-05,0.00025356133877572435,0.00021292720171797434,0.0005056385711783395,0.0005565182524213222,0.00028845068224148796,0.0003506132340554861,0.0006463595941118595,0.0006595939466135573,0.00030526281116640644,0.00040690544100262065,0.0006050051241530001,0.0011848779034513872,0.0005062765628610128,0.0005218066390758094,0.0005046518783990019,0.0004541446071331041,4.893894123266637e-05,0.00043786108725826827,7.311439512321933e-05,-0.0001850749301435074,0.00023724653439017337,0.00012587664019512806,6.34874554685082e-05,2.633373753503134e-05,0.00024109393538061837,-0.00017236731509977146,0.0003373382775027757,4.181432035077233e-05,0.000258660548435361,7.706882969337756e-05,0.00022861450848938485,0.0003171704961314224,5.8282670024321245e-05,0.0001758980763291825,8.051402527283791e-05,-9.712706335489162e-06,-8.072819919860967e-06,0.00014323516321112855,0.00016945787791751012,0.00020584544031668464,1.779491479181251e-05,0.00021620881855126587,0.00026156047082143174,-0.0001218618823622989,9.992480614130407e-05,-0.00015724180200834463,4.938656434143779e-05,0.00012513217750671768,0.0001320706327756249,1.0565669453410558e-05,0.00011481668102597707,0.00012481331803983832,-0.000189055264936252,0.00010323857807513895,-0.0005870333841507191,0.0004471724461360955,5.032860375590512e-05,0.000220731057064401,5.761731051882199e-05,0.0002738302395528944,2.0641977828915164e-05,0.0002642054165114144,0.0003376726608184001,0.00012496799110975028,-6.812450647627147e-05
CNEC.CL,-1.3925926119430577e-06,-8.32665195499538e-05,2.710963904942471e-05,8.242160445115185e-05,0.00010595610420066127,0.005821570743240856,-1.379774565945015e-05,0.0006666236806632922,-0.00019445386840000376,0.00028472296533004957,-0.00033383039813660834,-0.00014647103354170654,-7.352632806810656e-05,-0.00024478915564155615,0.00040191094608152855,-0.0005121228033610126,1.702145227097273e-05,0.00016835862152918767,-6.204448953621443e-05,0.0001594215069458761,-0.00028028660571878625,3.564589911197458e-05,0.00016347268039056877,-0.0002670111865194974,-2.0079201066078296e-05,-0.0001896070454340396,-0.00017443574167476204,-0.00014728900358138326,0.0003247772460833067,0.00027728498621983365,0.0001269893073729348,2.0846717031228077e-05,0.00037902446163427746,0.00032409086407915466,0.00013910834550120177,-3.094104479134977e-06,0.00042646554525652304,0.0004221111702509885,-5.829881534748163e-06,0.00025413679213618674,7.9155574013741e-05,0.00015206144931926758,-0.0001304957664207932,0.0002862185115276709,-4.5254456579352035e-05,9.909631573480802e-05,0.00038351145014102543,0.00015920118081721034,0.0002488206555690308,0.00020503932658554248,0.00016089474100291,-6.76129483045872e-05,0.000316401442373483,0.00016229563443837663,0.0003771139990819262,0.00035668424781254144,0.00043724743420504576,0.00021902544328617195,9.888515762360934e-05,0.00016710096174043655,0.00019468412692093818,-5.67778857192518e-05,0.0003408147799760451,0.00010747167898015255,0.00010396545907717089,0.0001442592440492243,0.00034824987857628406,5.72445644150948e-05,0.0005818396185987586,6.64876351010401e-05,0.000426386503139761,0.00017775316762938046,0.0007932291149611658,0.00024062899768922434,0.0009312845832491381,0.0001737544393320589
CORFICOLCF.CL,0.0006228922412020646,0.00019408459422862577,0.00047526383465449663,0.00022032329647903717,0.0006786687747713666,-1.379774565945015e-05,0.002263120652263976,0.00032614164832561434,0.00020304447238558862,0.00017326870553519903,0.0004174740654065321,0.0007916000938734515,0.0005248502591921596,0.0005060857197761417,0.0006890086870594552,0.0006789347540860337,0.0005160454827830513,0.0004926983135742005,0.0006675153003800851,0.0006752719503115963,-1.3817228173834402e-05,0.0008410339133502503,0.0007315541240632586,0.001214012228820872,0.0006833018377831857,0.000623864279820434,0.00063776655798313,0.00038775986693920895,0.00032704081617716883,-1.0654814491658945e-06,0.00031305855041855363,3.561371057993044e-05,0.00022877411008324298,0.0001241856173321023,-2.9010689843320656e-05,0.00021464255789426537,-4.66209745489231e-05,0.0004249876556273383,1.9793118732345304e-05,0.00010595014674596266,0.0001380300021623087,0.00015422663999773405,0.00026117703009295674,1.9908115447968032e-05,-7.084249982844653e-05,0.0002204745143790134,-9.039015475814448e-06,0.0001485220714858744,0.0002619438364159551,0.00020088360763668888,0.00020564463005661845,-3.90924680741883e-05,0.0001784826687702746,0.00022446459251531083,0.00016304898583486145,0.00025909621141260606,0.00013818853880604213,-2.3137405002486343e-05,0.00021691342518074326,1.875295763534645e-05,0.00020793871389747164,0.0001177229942728505,0.0002146304274736096,0.00012090989186399163,0.0003198614962036605,5.06341427086536e-05,0.00024497284847988535,4.66529591759878e-05,0.00022721730410089802,8.485726454500329e-05,3.529880916187575e-05,0.00015702587130781294,0.0005579868010425264,0.00021925601527934181,-2.5838689625181737e-05,9.91228889729657e-05
ECOPETROL.CL,8.578083325548166e-05,-7.632431779318239e-05,0.00041474512605777636,0.00027827217501815273,0.00014906513180359417,0.0006666236806632922,0.00032614164832561434,0.001980256254177765,0.00026963634120847886,0.000357926649532817,0.0001710798619792168,0.00041685064921022195,-3.4415661837969454e-05,0.0002623599520864915,0.00044329199650473236,0.0003960185393216907,0.0003041831703592361,0.0003558191930181509,0.0003600756646320618,0.0002491193079292044,-3.29268612027429e-05,0.0002867887087493068,0.00028338444302259357,0.0005596230307756314,0.0004575748173722944,0.00024833865096797556,0.0005837423151247948,0.0005185994589192272,0.0001669692354847677,-0.00019972419386335237,-1.8897003939060682e-05,3.384702307051492e-05,0.00034118570969731777,7.650351520732739e-05,0.00021631877600811604,0.00016804242879147965,0.00046070987182467805,0.000345300707944721,-6.764970893896419e-05,0.00011226070849223501,7.0567198278696595e-06,0.00012048374531780409,4.2507293024304655e-05,0.0002853912338480454,-1.8391149914239873e-05,0.00017954011337970716,-0.0003742059404323794,5.863804371142504e-05,0.00021685024758980818,0.00013157662039868924,0.00010344712115799932,5.633647106693703e-05,0.0003183849509013785,9.310442338562746e-05,0.00011797144324135757,0.00031857515980388717,4.679184255435809e-05,-9.28979805920298e-05,2.318260446551044e-05,0.00010526678331716256,4.895039229508142e-05,4.9603108157577085e-05,0.0002834518770712821,0.00020675193121900433,1.0721861325857283e-06,-0.00027762445513051143,0.00014962904794989782,8.804071321406675e-05,0.0004087713902376762,0.00010025588525999191,-3.773451459189869e-05,3.321057336378922e-05,0.00023323736263650748,0.00025629420072167513,-3.3441479207141966e-05,6.811896552824365e-05
ENKA.CL,-0.0001501238499730086,0.00038409991215833356,0.0004185823659425702,0.00027136656302459823,0.00019734025946763228,-0.00019445386840000376,0.00020304447238558862,0.00026963634120847886,0.0019054780520453246,0.00024483904975413024,1.438979378736022e-05,0.00020462960554800522,0.00020315486319384928,0.00019409083098104155,0.0003746617532604347,0.0005720228761606393,7.868429950671665e-05,0.00011523023393409248,0.0003147664367466726,0.0002092905715000163,-0.0004248449024962703,0.00027606557737478555,0.0004023369777335538,0.00037440382464410787,0.0003074754519023794,0.0002998552576209564,0.0006001210333747882,0.00042238174559449694,1.538842092022077e-05,6.582021963924779e-05,-5.401955651264586e-05,1.841010399665657e-05,0.00011962143721000319,0.00019244555800859223,2.728986152703068e-05,0.00019239396820468023,0.0002043076630211976,0.00024895696957481935,-8.32214858694252e-06,-3.8537056284268825e-05,-3.08624230588442e-05,6.466145399218859e-05,6.641158930097814e-05,7.844268224831654e-05,-1.2534024489167166e-05,0.00014273358125135833,-0.00027841763114917436,0.00012349134558702307,-5.206586120580109e-05,0.00012616810079210878,0.0001457714359107897,-0.00011468463867477857,0.00018600924182093494,2.255254317059517e-05,6.711222904543194e-05,0.00014435741408095468,0.00010357241445824258,8.648156203135679e-05,-3.0087194327471443e-06,9.69765601825647e-05,5.043396300417285e-05,-5.214311265376753e-05,5.66076118340701e-05,0.00017375927890687012,0.00012970279591877063,0.00016830374984946983,4.746255830946665e-05,-4.7631516323866324e-05,0.00020924209331967466,0.00010463275523524812,0.0001477156567888393,0.0001090566277678509,-0.0001383442017185063,0.0002543996663448543,-0.0002043060188570081,7.904434543915894e-05
ETB.CL,-6.864402985408629e-07,0.00025259432342729485,0.0004493217506803786,0.0004370041987470593,0.00012114391973964735,0.00028472296533004957,0.00017326870553519903,0.000357926649532817,0.00024483904975413024,0.0033007790956641105,-0.0002082829337902163,0.00026789908141432384,0.00023623467339713963,0.00017235988109587453,0.00015035672879710476,0.0005791646141977403,7.752350536011184e-05,6.578982116380135e-05,-5.1500731118617855e-05,0.0002358795977361957,-0.00037989181915066243,0.0001739245134170194,0.00010300803234519033,0.0001921070324619948,0.0004844723581139978,0.00043880571971854633,0.00047354809095602105,0.00043776899584306285,0.00045964684997282473,-0.00016157683282394864,7.887191090924579e-05,-9.46561627618681e-05,-1.0602232836757788e-05,-4.2455061244693364e-05,-0.00012130788485199709,1.1415876869343398e-06,0.00018093958280763106,4.797907272740964e-05,-8.47458349568957e-06,-0.00022918033496462464,-5.159363432466394e-05,9.434548537246387e-06,0.00015619591300493438,2.4721319404007457e-05,-0.00012949720836070365,-9.065768965137093e-05,-7.136270532891531e-05,7.327806847099345e-05,2.4258436385305716e-05,-4.63885634388967e-05,-0.0001129404462551312,-0.000139487039115353,-4.2607495815655636e-05,-0.00041380349884448945,-7.02020336374337e-05,-0.0001274200507202966,0.0002462428283039864,0.00010951485382790547,-9.796379479933816e-05,-0.00022162449767046096,-9.114268072479683e-05,-0.0002476830829758197,1.5183439283107434e-06,0.00017478884727639888,-0.00011769770878905055,0.00023941497224319328,0.00027869806423575687,-4.3285564934238316e-05,0.0001724720271375792,-2.047548841493098e-05,-0.00018293694958977468,6.997644565987487e-05,-0.0001224985793961748,-1.4159614228687162e-05,-0.0002217659970244679,7.399741369031096e-06
