Date,BCOLOMBIA.CL,CEMARGOS.CL,CONCONCRET.CL,CORFICOLCF.CL,ENKA.CL,ETB.CL,EXITO.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,TERPEL.CL,AMZN,BAC,C,CENCOSUD.SN,CSPX.L,F,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JPEA.CL,JPM,LQDA,NVDA,RBOT,SDHA.CL,SUAS.CL,VOO
2022-10-24/2022-10-30,28388.814453125,2742.375,218.86033630371094,14345.419921875,26.813716888427734,118.0,3463.157958984375,515.926513671875,36985.98828125,11536.140625,11442.4560546875,1666.907958984375,47051.44140625,464.8585205078125,24495.060546875,11266.8759765625,24843.71484375,4830.126953125,10926.8515625,6438.7802734375,103.41000366210938,34.207122802734375,42.02439880371094,1189.89990234375,398.489990234375,11.099038124084473,96.05216217041016,289720.0,46000.0,78650.0,17.670000076293945,22220.0,119.57515716552734,5.059999942779541,13.821361541748047,111.9000015258789,27100.0,56310.0,346.6083984375
2022-10-31/2022-11-06,29966.87890625,2634.992431640625,229.87518310546875,14300.591796875,28.601299285888672,105.0,3337.224853515625,474.20806884765625,38932.61328125,11343.068359375,11545.2861328125,1714.9053955078125,46787.6015625,456.0876770019531,25216.90625,11355.591796875,25395.375,5218.26171875,12016.1591796875,6559.35693359375,90.9800033569336,34.78386688232422,41.1134033203125,1246.11572265625,385.489990234375,11.308294296264648,86.36614227294922,295100.0,48150.0,77990.0,17.729999542236328,23060.0,123.93782806396484,5.019999980926514,14.14306640625,112.80000305175781,28420.0,55370.0,335.3968505859375
2022-11-07/2022-11-13,32944.0390625,2824.976318359375,234.6642608642578,14542.6708984375,27.70750617980957,108.9000015258789,3431.6748046875,463.5379333496094,38237.38671875,11547.6259765625,11912.3369140625,1719.905029296875,46602.921875,499.9422912597656,25343.82421875,11213.646484375,26156.28515625,5218.26171875,11821.94140625,6579.453125,100.79000091552734,36.31552505493164,46.2521858215332,1218.0078125,408.1499938964844,12.136955261230469,96.17186737060547,303720.0,48760.0,80110.0,18.719999313354492,23210.0,128.31947326660156,4.920000076293945,16.312084197998047,113.0999984741211,26890.0,55910.0,355.1238098144531
2022-11-14/2022-11-20,33757.4765625,3180.163330078125,227.0017547607422,15242.0087890625,27.70750617980957,108.9000015258789,3315.186767578125,454.87933349609375,38005.6484375,11816.333984375,12053.982421875,1757.9031982421875,48095.9609375,482.400390625,25224.837890625,11533.0234375,25595.11328125,5295.88916015625,12252.5986328125,6398.587890625,94.13999938964844,35.162052154541016,44.842227935791016,1203.9539794921875,409.1499938964844,11.710070610046387,97.18934631347656,316220.0,49500.0,83000.0,18.18000030517578,22800.0,126.93478393554688,4.679999828338623,15.394923210144043,98.0999984741211,27310.0,58800.0,353.0191955566406
2022-11-21/2022-11-27,34082.85546875,3113.256103515625,228.82159423828125,14883.3740234375,25.11551284790039,110.30000305175781,3564.533935546875,469.9224853515625,36865.484375,11436.3525390625,11942.5556640625,1799.9007568359375,34530.42578125,517.4840698242188,25383.484375,12411.3076171875,25680.71484375,5282.95166015625,11441.951171875,6402.46240234375,93.41000366210938,35.64424133300781,44.50125503540039,1231.218505859375,416.1099853515625,11.908595085144043,97.21926879882812,312000.0,49210.0,84780.0,18.610000610351562,23740.0,129.68519592285156,4.989999771118164,16.255136489868164,108.5999984741211,28120.0,58590.0,358.6540832519531
2022-11-28/2022-12-04,32098.0703125,3122.34228515625,234.19659423828125,14184.0341796875,26.009305953979492,125.0,3243.404541015625,476.6569519042969,34761.265625,11409.1416015625,11730.087890625,1837.8985595703125,39569.05859375,486.78582763671875,25097.919921875,11710.4541015625,24733.8671875,5321.7646484375,10969.072265625,6521.82568359375,94.12999725341797,34.11258316040039,43.53363800048828,1241.524658203125,418.8599853515625,11.722522735595703,100.19190979003906,309480.0,48000.0,82300.0,18.739999771118164,23740.0,128.1866912841797,5.489999771118164,16.860580444335938,98.69999694824219,27190.0,58410.0,362.7275085449219
2022-12-05/2022-12-11,32521.05078125,3054.608642578125,239.07568359375,14255.7607421875,26.804777145385742,119.23999786376953,3265.449462890625,448.90594482421875,38005.6484375,11418.8603515625,11595.9970703125,1799.9007568359375,41401.2890625,482.400390625,25343.82421875,11351.9365234375,25585.6015625,5061.95556640625,10850.8544921875,6229.78125,89.08999633789062,30.79332160949707,41.340362548828125,1236.8402099609375,410.510009765625,11.147391319274902,92.6007080078125,308630.0,47020.0,79180.0,18.110000610351562,23790.0,125.34147644042969,5.650000095367432,16.98981475830078,74.69999694824219,27400.0,57150.0,350.6236267089844
2022-12-12/2022-12-18,34164.19140625,2875.36328125,248.7362823486328,13547.4560546875,21.71017074584961,112.0,3298.13818359375,455.75396728515625,34937.390625,11260.455078125,11543.1171875,1799.9007568359375,37956.25390625,465.73565673828125,24931.33984375,11089.4453125,26156.28515625,4916.37841796875,10344.19921875,6189.5888671875,87.86000061035156,30.14664077758789,40.870384216308594,1227.3770751953125,397.6700134277344,10.25086498260498,90.03705596923828,301090.0,45160.0,77700.0,17.450000762939453,23850.0,122.61953735351562,5.940000057220459,16.560096740722656,56.400001525878906,27460.0,57140.0,343.19451904296875
2022-12-19/2022-12-25,33432.10546875,2924.098388671875,232.2449493408203,13359.171875,19.66339111328125,108.0,3261.350341796875,464.14141845703125,37264.07421875,11505.439453125,11841.5146484375,1759.903076171875,38909.359375,470.1211242675781,25907.01953125,11142.6748046875,26270.419921875,5118.64794921875,10656.6357421875,6461.9873046875,85.25,30.87891387939453,40.78744125366211,1262.9803466796875,396.5199890136719,9.608070373535156,89.00959777832031,291040.0,45520.0,74000.0,17.229999542236328,23690.0,124.50688934326172,6.170000076293945,15.195995330810547,53.099998474121094,27330.0,53830.0,341.26446533203125
2022-12-26/2023-01-01,34570.91015625,2973.658935546875,234.19659423828125,13448.8310546875,22.612899780273438,119.69999694824219,3211.2919921875,479.0794677734375,38932.61328125,11505.439453125,11982.21484375,1849.89794921875,39271.17578125,499.9422912597656,26612.998046875,11444.306640625,26213.3515625,5477.01904296875,11146.40234375,6454.85693359375,84.0,31.497058868408203,41.68133544921875,1307.01611328125,396.0899963378906,9.836431503295898,88.01206970214844,294300.0,46100.0,74790.0,17.079999923706055,23320.0,127.181396484375,6.369999885559082,14.604384422302246,60.599998474121094,27170.0,54330.0,342.3822937011719
2023-01-02/2023-01-08,34919.5546875,3039.739990234375,229.31748962402344,13897.1259765625,22.34476089477539,106.87000274658203,3352.966552734375,481.90447998046875,38938.0234375,12017.1884765625,12578.068359375,1999.8897705078125,40136.0234375,504.32763671875,28204.205078125,11976.6005859375,27297.650390625,5302.86181640625,10975.2587890625,6511.12646484375,86.08000183105469,32.72385025024414,43.59814453125,1214.7286376953125,400.739990234375,10.639924049377441,87.12425994873047,304060.0,48900.0,75010.0,18.43000030517578,24670.0,130.82327270507812,5.71999979019165,14.849224090576172,59.400001525878906,27180.0,54880.0,347.4984436035156
2023-01-09/2023-01-15,35549.9375,2973.658935546875,225.41421508789062,15233.04296875,20.458864212036133,118.58999633789062,3454.05615234375,490.5718078613281,37822.6484375,12311.6669921875,12637.560546875,2199.878662109375,39685.95703125,499.9422912597656,28041.646484375,12952.4716796875,26964.75,5523.08154296875,11146.7470703125,6571.41455078125,98.12000274658203,33.503665924072266,46.00336837768555,1218.0078125,410.7099914550781,10.758333206176758,91.89246368408203,309510.0,48730.0,77290.0,20.170000076293945,24180.0,136.633544921875,6.449999809265137,16.887882232666016,84.30000305175781,28080.0,56220.0,356.8927001953125
2023-01-16/2023-01-22,36072.48046875,3018.8583984375,221.2767333984375,15672.37109375,20.727001190185547,108.62000274658203,3674.095703125,476.7005920410156,37522.09765625,12421.5390625,12634.7265625,2308.888916015625,39787.03125,489.4171447753906,28114.796875,12996.830078125,25966.056640625,5348.9052734375,11035.2802734375,6602.5068359375,97.25,32.191287994384766,47.08157730102539,1287.340576171875,407.3599853515625,10.487683296203613,97.77787780761719,300720.0,45500.0,77700.0,20.239999771118164,23490.0,129.05712890625,6.420000076293945,17.827260971069336,82.80000305175781,27150.0,56050.0,354.4369201660156
2023-01-23/2023-01-29,34919.5546875,2735.235107421875,217.51007080078125,14695.0908203125,20.73594093322754,110.36000061035156,3589.090576171875,467.9109191894531,37121.53515625,11868.216796875,12247.564453125,2249.908203125,39389.16796875,499.0653076171875,28277.361328125,12154.0322265625,24054.271484375,4862.42529296875,10700.8779296875,6591.5107421875,102.23999786376953,33.712886810302734,47.79115676879883,1381.970458984375,421.2699890136719,11.22351360321045,99.12455749511719,301800.0,47040.0,77800.0,20.299999237060547,23550.0,134.06350708007812,6.679999828338623,20.351598739624023,84.30000305175781,26190.0,55050.0,363.3633728027344
2023-01-30/2023-02-05,34637.55078125,2693.155029296875,210.87451171875,13520.55859375,21.156023025512695,118.69999694824219,3636.315673828125,473.1584777832031,36329.734375,11650.4521484375,11902.8955078125,2149.912353515625,39787.03125,508.7130432128906,28277.361328125,11533.0234375,24349.123046875,4800.763671875,10297.880859375,6511.12646484375,103.38999938964844,34.64486312866211,46.95255661010742,1356.67333984375,432.8699951171875,11.189681053161621,104.52118682861328,300200.0,47720.0,83500.0,20.739999771118164,23080.0,134.79917907714844,7.130000114440918,21.086116790771484,88.5,26250.0,58080.0,369.19097900390625
