Date,BCOLOMBIA.CL,CEMARGOS.CL,CONCONCRET.CL,CORFICOLCF.CL,ENKA.CL,ETB.CL,EXITO.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,TERPEL.CL,AMZN,BAC,C,CENCOSUD.SN,CSPX.L,F,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JPEA.CL,JPM,LQDA,NVDA,RBOT,SDHA.CL,SUAS.CL,VOO
2022-10-24/2022-10-30,28388.814453125,2742.375,218.8603515625,14345.4208984375,26.8137149810791,118.0,3463.157958984375,515.926513671875,36985.984375,11536.140625,11442.455078125,1666.907958984375,47051.4453125,464.8585510253906,24495.0625,11266.876953125,24843.71484375,4830.12646484375,10926.8515625,6438.7802734375,103.41000366210938,34.207122802734375,42.02439880371094,1189.9000244140625,398.489990234375,11.099038124084473,96.05216217041016,289720.0,46000.0,78650.0,17.670000076293945,22220.0,119.57518005371094,5.059999942779541,13.821362495422363,111.9000015258789,27100.0,56310.0,346.60845947265625
2022-10-31/2022-11-06,29966.876953125,2634.992431640625,229.8751983642578,14300.5908203125,28.60129737854004,105.0,3337.224609375,474.20806884765625,38932.62109375,11343.06640625,11545.287109375,1714.9053955078125,46787.60546875,456.087646484375,25216.904296875,11355.591796875,25395.375,5218.26123046875,12016.1591796875,6559.35693359375,90.9800033569336,34.78386688232422,41.11339569091797,1246.11572265625,385.489990234375,11.308295249938965,86.36614990234375,295100.0,48150.0,77990.0,17.729999542236328,23060.0,123.9378433227539,5.019999980926514,14.14306926727295,112.80000305175781,28420.0,55370.0,335.3968811035156
2022-11-07/2022-11-13,32944.04296875,2824.97607421875,234.6642608642578,14542.669921875,27.70750617980957,108.9000015258789,3431.674560546875,463.5379333496094,38237.3984375,11547.6259765625,11912.3369140625,1719.905029296875,46602.91796875,499.9422912597656,25343.826171875,11213.646484375,26156.28515625,5218.26123046875,11821.94140625,6579.45263671875,100.79000091552734,36.315528869628906,46.25218200683594,1218.0078125,408.1499938964844,12.136957168579102,96.17186737060547,303720.0,48760.0,80110.0,18.719999313354492,23210.0,128.3195037841797,4.920000076293945,16.31208610534668,113.0999984741211,26890.0,55910.0,355.12384033203125
2022-11-14/2022-11-20,33757.4765625,3180.163330078125,227.0017547607422,15242.0087890625,27.70750617980957,108.9000015258789,3315.1865234375,454.8792724609375,38005.65234375,11816.333984375,12053.9814453125,1757.9031982421875,48095.96484375,482.4004821777344,25224.8359375,11533.0234375,25595.11328125,5295.888671875,12252.5986328125,6398.58837890625,94.13999938964844,35.16204833984375,44.84222412109375,1203.953857421875,409.1499938964844,11.71006965637207,97.18933868408203,316220.0,49500.0,83000.0,18.18000030517578,22800.0,126.9347915649414,4.679999828338623,15.394923210144043,98.0999984741211,27310.0,58800.0,353.0191955566406
2022-11-21/2022-11-27,34082.8515625,3113.256103515625,228.82159423828125,14883.3740234375,25.115514755249023,110.30000305175781,3564.533935546875,469.9223937988281,36865.48828125,11436.3525390625,11942.5546875,1799.9007568359375,34530.4296875,517.4838256835938,25383.482421875,12411.306640625,25680.716796875,5282.95068359375,11441.9501953125,6402.46240234375,93.41000366210938,35.64424133300781,44.501258850097656,1231.218505859375,416.1099853515625,11.908594131469727,97.21926879882812,312000.0,49210.0,84780.0,18.610000610351562,23740.0,129.68521118164062,4.989999771118164,16.255138397216797,108.5999984741211,28120.0,58590.0,358.65411376953125
2022-11-28/2022-12-04,32098.06640625,3122.34228515625,234.19659423828125,14184.0341796875,26.009305953979492,125.0,3243.404541015625,476.6568603515625,34761.26953125,11409.1416015625,11730.087890625,1837.8985595703125,39569.06640625,486.7857666015625,25097.921875,11710.4541015625,24733.8671875,5321.76513671875,10969.0732421875,6521.82568359375,94.12999725341797,34.11258316040039,43.533634185791016,1241.5247802734375,418.8599853515625,11.722522735595703,100.19190979003906,309480.0,48000.0,82300.0,18.739999771118164,23740.0,128.1867218017578,5.489999771118164,16.86058235168457,98.69999694824219,27190.0,58410.0,362.72747802734375
2022-12-05/2022-12-11,32521.05859375,3054.609375,239.07568359375,14255.76171875,26.804777145385742,119.23999786376953,3265.449462890625,448.9058837890625,38005.65234375,11418.8603515625,11595.9970703125,1799.9007568359375,41401.28515625,482.4004821777344,25343.826171875,11351.9365234375,25585.6015625,5061.955078125,10850.8544921875,6229.78125,89.08999633789062,30.79332160949707,41.34036636352539,1236.840087890625,410.510009765625,11.147393226623535,92.6007080078125,308630.0,47020.0,79180.0,18.110000610351562,23790.0,125.34147644042969,5.650000095367432,16.98981475830078,74.69999694824219,27400.0,57150.0,350.6236572265625
2022-12-12/2022-12-18,34164.19140625,2875.363037109375,248.7362823486328,13547.4560546875,21.710172653198242,112.0,3298.13818359375,455.75390625,34937.3984375,11260.453125,11543.1162109375,1799.9007568359375,37956.25,465.7356262207031,24931.33984375,11089.4453125,26156.28515625,4916.37890625,10344.2001953125,6189.5888671875,87.86000061035156,30.146642684936523,40.87038040161133,1227.377197265625,397.6700134277344,10.250864028930664,90.03705596923828,301090.0,45160.0,77700.0,17.450000762939453,23850.0,122.61955261230469,5.940000057220459,16.560094833374023,56.400001525878906,27460.0,57140.0,343.1944885253906
2022-12-19/2022-12-25,33432.10546875,2924.09814453125,232.2449493408203,13359.1728515625,19.663393020629883,108.0,3261.35009765625,464.1414489746094,37264.078125,11505.439453125,11841.5146484375,1759.903076171875,38909.3515625,470.12109375,25907.01953125,11142.6748046875,26270.419921875,5118.6484375,10656.63671875,6461.9873046875,85.25,30.878910064697266,40.787445068359375,1262.98046875,396.5199890136719,9.608070373535156,89.00959777832031,291040.0,45520.0,74000.0,17.229999542236328,23690.0,124.50687408447266,6.170000076293945,15.195996284484863,53.099998474121094,27330.0,53830.0,341.2644348144531
2022-12-26/2023-01-01,34570.91015625,2973.659423828125,234.19659423828125,13448.83203125,22.612899780273438,119.69999694824219,3211.291748046875,479.07952880859375,38932.62109375,11505.439453125,11982.21484375,1849.89794921875,39271.1796875,499.9422912597656,26612.998046875,11444.3076171875,26213.353515625,5477.0185546875,11146.4033203125,6454.85693359375,84.0,31.49705696105957,41.68133544921875,1307.01611328125,396.0899963378906,9.836431503295898,88.01206970214844,294300.0,46100.0,74790.0,17.079999923706055,23320.0,127.181396484375,6.369999885559082,14.604384422302246,60.599998474121094,27170.0,54330.0,342.3822937011719
2023-01-02/2023-01-08,34919.55859375,3039.74072265625,229.31748962402344,13897.1259765625,22.34476089477539,106.87000274658203,3352.96630859375,481.904541015625,38938.01953125,12017.1884765625,12578.068359375,1999.8897705078125,40136.03515625,504.3276062011719,28204.208984375,11976.6005859375,27297.650390625,5302.8623046875,10975.259765625,6511.1259765625,86.08000183105469,32.723846435546875,43.59815216064453,1214.728515625,400.739990234375,10.639924049377441,87.12425994873047,304060.0,48900.0,75010.0,18.43000030517578,24670.0,130.82327270507812,5.71999979019165,14.849224090576172,59.400001525878906,27180.0,54880.0,347.4984436035156
2023-01-09/2023-01-15,35549.9375,2973.659423828125,225.41421508789062,15233.0439453125,20.4588623046875,118.58999633789062,3454.055908203125,490.5717468261719,37822.64453125,12311.6669921875,12637.5595703125,2199.878662109375,39685.953125,499.9422912597656,28041.646484375,12952.4716796875,26964.751953125,5523.0810546875,11146.74609375,6571.4140625,98.12000274658203,33.503662109375,46.003360748291016,1218.0078125,410.7099914550781,10.758333206176758,91.89246368408203,309510.0,48730.0,77290.0,20.170000076293945,24180.0,136.633544921875,6.449999809265137,16.887880325317383,84.30000305175781,28080.0,56220.0,356.8926696777344
2023-01-16/2023-01-22,36072.48046875,3018.857666015625,221.2767333984375,15672.37109375,20.727001190185547,108.62000274658203,3674.09521484375,476.70074462890625,37522.08984375,12421.5400390625,12634.7265625,2308.888916015625,39787.046875,489.4171447753906,28114.798828125,12996.830078125,25966.05859375,5348.90576171875,11035.279296875,6602.5068359375,97.25,32.1912841796875,47.081573486328125,1287.340576171875,407.3599853515625,10.487683296203613,97.77788543701172,300720.0,45500.0,77700.0,20.239999771118164,23490.0,129.05712890625,6.420000076293945,17.82726287841797,82.80000305175781,27150.0,56050.0,354.4369201660156
